,Unnamed: 0,dishwasher
2153592,2153592,758.0
2153593,2153593,763.0
2153594,2153594,765.0
2153595,2153595,755.0
2153596,2153596,760.0
2153597,2153597,743.0
2153598,2153598,762.0
2153599,2153599,755.0
2153600,2153600,763.0
2153601,2153601,759.0
2153602,2153602,761.0
2153603,2153603,762.0
2153604,2153604,754.0
2153605,2153605,760.0
2153606,2153606,769.0
2153607,2153607,758.0
2153608,2153608,755.0
2153609,2153609,764.0
2153610,2153610,764.0
2153611,2153611,763.0
2153612,2153612,763.0
2153613,2153613,760.0
2153614,2153614,765.0
2153615,2153615,761.0
2153616,2153616,773.0
2153617,2153617,764.0
2153618,2153618,762.0
2153619,2153619,773.0
2153620,2153620,776.0
2153621,2153621,764.0
2153622,2153622,772.0
2153623,2153623,762.0
2153624,2153624,770.0
2153625,2153625,772.0
2153626,2153626,773.0
2153627,2153627,767.0
2153628,2153628,766.0
2153629,2153629,769.0
2153630,2153630,766.0
2153631,2153631,771.0
2153632,2153632,769.0
2153633,2153633,772.0
2153634,2153634,760.0
2153635,2153635,769.0
2153636,2153636,768.0
2153637,2153637,767.0
2153638,2153638,768.0
2153639,2153639,773.0
2153640,2153640,773.0
2153641,2153641,762.0
2153642,2153642,765.0
2153643,2153643,769.0
2153644,2153644,766.0
2153645,2153645,761.0
2153646,2153646,770.0
2153647,2153647,764.0
2153648,2153648,768.0
2153649,2153649,769.0
2153650,2153650,763.0
2153651,2153651,769.0
2153652,2153652,771.0
2153653,2153653,761.0
2153654,2153654,763.0
2153655,2153655,764.0
2153656,2153656,764.0
2153657,2153657,767.0
2153658,2153658,765.0
2153659,2153659,764.0
2153660,2153660,764.0
2153661,2153661,763.0
2153662,2153662,770.0
2153663,2153663,774.0
2153664,2153664,768.0
2153665,2153665,767.0
2153666,2153666,766.0
2153667,2153667,766.0
2153668,2153668,764.0
2153669,2153669,768.0
2153670,2153670,769.0
2153671,2153671,770.0
2153672,2153672,764.0
2153673,2153673,767.0
2153674,2153674,769.0
2153675,2153675,762.0
2153676,2153676,766.0
2153677,2153677,771.0
2153678,2153678,763.0
2153679,2153679,774.0
2153680,2153680,770.0
2153681,2153681,772.0
2153682,2153682,768.0
2153683,2153683,772.0
2153684,2153684,767.0
2153685,2153685,761.0
2153686,2153686,770.0
2153687,2153687,763.0
2153688,2153688,761.0
2153689,2153689,771.0
2153690,2153690,770.0
2153691,2153691,761.0
2153692,2153692,772.0
2153693,2153693,765.0
2153694,2153694,766.0
2153695,2153695,770.0
2153696,2153696,769.0
2153697,2153697,766.0
2153698,2153698,775.0
2153699,2153699,770.0
2153700,2153700,765.0
2153701,2153701,771.0
2153702,2153702,762.0
2153703,2153703,774.0
2153704,2153704,774.0
2153705,2153705,760.0
2153706,2153706,763.0
2153707,2153707,771.0
2153708,2153708,763.0
2153709,2153709,760.0
2153710,2153710,768.0
2153711,2153711,757.0
2153712,2153712,770.0
2153713,2153713,765.0
2153714,2153714,760.0
2153715,2153715,763.0
2153716,2153716,769.0
2153717,2153717,765.0
2153718,2153718,757.0
2153719,2153719,769.0
2153720,2153720,768.0
2153721,2153721,767.0
2153722,2153722,762.0
2153723,2153723,767.0
2153724,2153724,764.0
