,time,dryer
2857,1600857,286
2858,1600858,270
2859,1600859,253
2860,1600860,274
2861,1600861,283
2862,1600862,265
2863,1600863,277
2864,1600864,276
2865,1600865,276
2866,1600866,303
2867,1600867,304
2868,1600868,282
2869,1600869,281
2870,1600870,275
2871,1600871,266
2872,1600872,284
2873,1600873,289
2874,1600874,272
2875,1600875,284
2876,1600876,279
2877,1600877,266
2878,1600878,276
2879,1600879,282
2880,1600880,265
2881,1600881,277
2882,1600882,267
2883,1600883,266
2884,1600884,284
2885,1600885,292
2886,1600886,260
2887,1600887,255
2888,1600888,274
2889,1600889,258
2890,1600890,281
2891,1600891,298
2892,1600892,281
2893,1600893,267
2894,1600894,281
2895,1600895,261
2896,1600896,268
2897,1600897,281
2898,1600898,271
2899,1600899,269
2900,1600900,284
2901,1600901,267
2902,1600902,275
2903,1600903,298
2904,1600904,281
2905,1600905,268
2906,1600906,282
2907,1600907,264
2908,1600908,256
2909,1600909,295
2910,1600910,276
2911,1600911,261
2912,1600912,276
2913,1600913,270
2914,1600914,268
2915,1600915,290
2916,1600916,284
2917,1600917,272
2918,1600918,276
2919,1600919,276
2920,1600920,272
2921,1600921,298
2922,1600922,289
2923,1600923,267
2924,1600924,281
2925,1600925,279
2926,1600926,281
2927,1600927,298
2928,1600928,285
2929,1600929,268
2930,1600930,270
2931,1600931,284
2932,1600932,266
2933,1600933,286
2934,1600934,284
2935,1600935,271
2936,1600936,273
2937,1600937,274
2938,1600938,271
2939,1600939,283
2940,1600940,295
2941,1600941,272
2942,1600942,255
2943,1600943,3050
2944,1600944,3016
2945,1600945,2996
2946,1600946,2972
2947,1600947,2940
2948,1600948,2913
2949,1600949,2911
2950,1600950,2893
2951,1600951,2896
2952,1600952,2907
2953,1600953,2876
2954,1600954,2864
2955,1600955,2869
2956,1600956,2851
2957,1600957,2855
2958,1600958,2886
2959,1600959,2851
2960,1600960,2849
2961,1600961,2865
2962,1600962,2851
2963,1600963,2854
2964,1600964,2873
2965,1600965,2841
2966,1600966,2830
2967,1600967,2841
2968,1600968,2832
2969,1600969,2837
2970,1600970,2861
2971,1600971,2851
2972,1600972,2841
2973,1600973,2837
2974,1600974,2828
2975,1600975,2843
2976,1600976,2870
2977,1600977,2859
2978,1600978,2844
2979,1600979,2852
2980,1600980,2846
2981,1600981,2839
2982,1600982,2862
2983,1600983,2847
2984,1600984,2834
2985,1600985,2850
2986,1600986,2855
2987,1600987,2858
2988,1600988,2885
2989,1600989,2860
2990,1600990,2842
2991,1600991,2841
2992,1600992,2831
2993,1600993,2832
2994,1600994,2864
2995,1600995,2861
2996,1600996,2854
2997,1600997,2874
2998,1600998,2858
2999,1600999,2869
3000,1601000,2885
3001,1601001,2873
3002,1601002,2861
3003,1601003,2855
3004,1601004,2851
3005,1601005,2845
3006,1601006,2887
3007,1601007,2867
3008,1601008,2850
3009,1601009,2847
3010,1601010,2839
3011,1601011,2834
3012,1601012,2858
3013,1601013,2863
3014,1601014,2836
3015,1601015,2855
3016,1601016,2858
3017,1601017,2837
3018,1601018,2857
3019,1601019,2864
3020,1601020,2833
3021,1601021,2845
3022,1601022,2845
3023,1601023,2849
3024,1601024,2872
3025,1601025,2865
3026,1601026,2843
3027,1601027,2847
3028,1601028,2845
3029,1601029,2839
3030,1601030,2858
3031,1601031,2868
3032,1601032,2846
3033,1601033,2841
3034,1601034,2838
3035,1601035,2826
3036,1601036,2854
3037,1601037,284
3038,1601038,273
3039,1601039,270
3040,1601040,269
3041,1601041,265
3042,1601042,288
3043,1601043,293
3044,1601044,274
3045,1601045,284
3046,1601046,270
3047,1601047,272
3048,1601048,289
3049,1601049,292
3050,1601050,280
3051,1601051,274
3052,1601052,283
3053,1601053,280
3054,1601054,292
3055,1601055,306
3056,1601056,280
3057,1601057,269
3058,1601058,278
3059,1601059,269
3060,1601060,278
3061,1601061,289
3062,1601062,271
3063,1601063,266
3064,1601064,273
3065,1601065,268
3066,1601066,285
3067,1601067,304
3068,1601068,274
3069,1601069,273
3070,1601070,289
3071,1601071,263
3072,1601072,281
3073,1601073,296
3074,1601074,285
3075,1601075,269
3076,1601076,282
3077,1601077,275
3078,1601078,280
3079,1601079,295
3080,1601080,278
3081,1601081,262
3082,1601082,268
3083,1601083,255
3084,1601084,277
3085,1601085,299
3086,1601086,278
